GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,PAYQTR1,PAYANN
Geographic identifier code,Id2,Geographic area name,2007 NAICS code,Meaning of 2007 NAICS code,Year,Number of establishments,Paid employees for pay period including March 12 (number),"First-quarter payroll ($1,000)","Annual payroll ($1,000)"
8610000US35550,35550,"ZIP 35550 (Cordova, AL)",00,Total for all sectors,2011,35,358,3539,15673
8610000US35552,35552,"ZIP 35552 (Detroit, AL)",00,Total for all sectors,2011,14,93,509,1727
8610000US35553,35553,"ZIP 35553 (Double Springs, AL)",00,Total for all sectors,2011,72,1197,6369,31064
8610000US35554,35554,"ZIP 35554 (Eldridge, AL)",00,Total for all sectors,2011,7,97,880,3028
8610000US35555,35555,"ZIP 35555 (Fayette, AL)",00,Total for all sectors,2011,238,2730,17216,70780
8610000US35559,35559,"ZIP 35559 (Glen Allen, AL)",00,Total for all sectors,2011,3,38,304,1371
8610000US35560,35560,"ZIP 35560 (Goodsprings, AL)",00,Total for all sectors,2011,4,b,D,D
8610000US35563,35563,"ZIP 35563 (Guin, AL)",00,Total for all sectors,2011,63,980,8959,37111
8610000US35564,35564,"ZIP 35564 (Hackleburg, AL)",00,Total for all sectors,2011,17,377,2016,10303
8610000US35565,35565,"ZIP 35565 (Haleyville, AL)",00,Total for all sectors,2011,268,3839,25906,108232
8610000US35570,35570,"ZIP 35570 (Hamilton, AL)",00,Total for all sectors,2011,227,2559,16558,67680
8610000US35571,35571,"ZIP 35571 (Hodges, AL)",00,Total for all sectors,2011,7,31,140,618
8610000US35572,35572,"ZIP 35572 (Houston, AL)",00,Total for all sectors,2011,9,134,1149,4498
8610000US35573,35573,"ZIP 35573 (Kansas, AL)",00,Total for all sectors,2011,3,b,D,D
8610000US35574,35574,"ZIP 35574 (Kennedy, AL)",00,Total for all sectors,2011,9,70,568,2490
8610000US35575,35575,"ZIP 35575 (Lynn, AL)",00,Total for all sectors,2011,18,b,354,1853
8610000US35576,35576,"ZIP 35576 (Millport, AL)",00,Total for all sectors,2011,40,362,2507,11530
8610000US35577,35577,"ZIP 35577 (Natural Bridge, AL)",00,Total for all sectors,2011,2,a,D,D
8610000US35578,35578,"ZIP 35578 (Nauvoo, AL)",00,Total for all sectors,2011,31,192,1247,6126
8610000US35579,35579,"ZIP 35579 (Oakman, AL)",00,Total for all sectors,2011,27,162,1074,4420
